"m","Re_omega","Im_omega"
50.,47.14045207925615,4.9097772612159074e-11
50.2,47.329013887555654,4.369012338831279e-11
50.4,47.517575695857026,3.887537610744642e-11
50.6,47.70613750416005,3.458884340656123e-11
50.8,47.894699312464546,3.077285779307199e-11
51.,48.08326112077036,2.7376014299585143e-11
51.2,48.27182292907734,2.4352494320825594e-11
51.4,48.46038473738536,2.166146199235401e-11
51.6,48.64894654569431,1.9266525383051964e-11
51.8,48.83750835400408,1.7135255590209448e-11
52.,49.02607016231459,1.5238757557319888e-11
52.2,49.214631970625746,1.3551287089249912e-11
52.4,49.403193778937485,1.20499091252734e-11
52.6,49.59175558724974,1.0714192854690665e-11
52.8,49.78031739556246,9.525939728808628e-12
53.,49.968879203875595,8.468940842689459e-12
53.2,50.15744101218908,7.528760535443317e-12
53.4,50.346002820502896,6.692543393572363e-12
53.6,50.534564628817,5.948842142115931e-12
53.8,50.72312643713136,5.287464176819334e-12
54.,50.91168824544595,4.6993347305835905e-12
54.2,51.100250053760746,4.176374882037131e-12
54.4,51.28881186207571,3.711392805878945e-12
54.6,51.47737367039085,3.2979868360730754e-12
54.8,51.66593547870612,2.930459066173928e-12
55.,51.85449728702152,2.6037383479538224e-12
55.2,52.043059095337036,2.3133116718104785e-12
55.4,52.23162090365265,2.0551630216946735e-12
55.6,52.42018271196835,1.825718894897387e-12
55.8,52.608744520284134,1.6217997642068849e-12
56.,52.79730632859999,1.4405768377951325e-12
56.2,52.985868136915904,1.2795335417091919e-12
56.4,53.17442994523187,1.1364312119121542e-12
56.6,53.362991753547895,1.0092785382317742e-12
56.8,53.551553561863955,8.963043520417669e-13
57.,53.740115370180064,7.959333936544084e-13
57.2,53.9286771784962,7.067647348103084e-13
57.4,54.11723898681237,6.275525668187244e-13
57.6,54.30580079512856,5.571890962825967e-13
57.8,54.494362603444785,4.94689318341586e-13
58.,54.68292441176102,4.391774623458045e-13
58.2,54.87148622007729,3.8987492715616875e-13
58.4,55.06004802839356,3.460895431435141e-13
58.6,55.24860983670985,3.0720601568610957e-13
58.8,55.43717164502616,2.726774207748426e-13
59.,55.625733453342484,2.4201763743327485e-13
59.2,55.81429526165881,2.1479461423018845e-13
59.4,56.00285706997515,1.9062437836964574e-13
59.6,56.19141887829149,1.6916570583486844e-13
59.8,56.37998068660785,1.5011537996858523e-13
60.,56.56854249492421,1.3320397381101087e-13
60.2,56.757104303240574,1.1819209859186996e-13
60.4,56.945666111556946,1.0486706707819258e-13
60.6,57.134227919873325,9.303992609829909e-14
60.8,57.322789728189704,8.254281756880384e-14
61.,57.51135153650609,7.32266318119537e-14
61.2,57.69991334482248,6.495892092437884e-14
61.4,57.88847515313887,5.762204349819222e-14
61.6,58.077036961455256,5.111151514845425e-14
61.8,58.26559876977166,4.533454210935478e-14
62.,58.45416057808805,4.020871766255226e-14
62.2,58.64272238640445,3.5660863388386786e-14
62.4,58.83128419472085,3.162599921397222e-14
62.6,59.01984600303725,2.804642799806434e-14
62.8,59.20840781135365,2.4870921964805678e-14
63.,59.39696961967006,2.2053999698101765e-14
63.2,59.58553142798647,1.9555283654332405e-14
63.4,59.77409323630287,1.7338929260140697e-14
63.6,59.962655044619275,1.5373117649144553e-14
63.8,60.15121685293568,1.362960496992211e-14
64.,60.33977866125209,1.2083321979424531e-14
64.2,60.5283404695685,1.0712018331662017e-14
64.4,60.71690227788491,9.495946590532064e-15
64.6,60.90546408620132,8.4175815464233e-15
64.8,61.09402589451773,7.461370906226275e-15
65.,61.28258770283414,6.6135138622885854e-15
65.2,61.47114951115055,5.861764433610301e-15
65.4,61.65971131946696,5.195256817481416e-15
65.6,61.84827312778337,4.6043502965310945e-15
65.8,62.03683493609978,4.080491518987608e-15
66.,62.225396744416194,3.616092212576739e-15
66.2,62.4139585527326,3.2044206082437834e-15
66.4,62.60252036104902,2.8395050417337226e-15
66.6,62.79108216936543,2.516048371643728e-15
66.8,62.97964397768184,2.2293520042204365e-15
67.,63.16820578599825,1.9752484500014943e-15
67.2,63.35676759431466,1.7500414572572092e-15
67.4,63.545329402631076,1.5504528737293209e-15
67.6,63.73389121094749,1.3735754828632814e-15
67.8,63.9224530192639,1.2168311448990107e-15
68.,64.1110148275803,1.0779336479893469e-15
68.2,64.29957663589673,9.54855740993166e-16
68.4,64.48813844421313,8.457998786646698e-16
68.6,64.67670025252954,7.4917226245295775e-16
68.8,64.86526206084596,6.63559806767304e-16
69.,65.05382386916237,5.877097020033313e-16
69.2,65.2423856774788,5.205112824414889e-16
69.4,65.4309474857952,4.609799398358479e-16
69.6,65.61950929411161,4.082428525653117e-16
69.8,65.80807110242803,3.615263260273254e-16
70.,65.99663291074444,3.2014456287743314e-16
70.2,66.18519471906085,2.8348970207789093e-16
70.4,66.37375652737727,2.510229838006344e-16
70.6,66.56231833569367,2.2226691328817053e-16
70.8,66.75088014401008,1.9679831103614885e-16
71.,66.9394419523265,1.742421493241132e-16
71.2,67.12800376064291,1.5426608636458422e-16
71.4,67.31656556895932,1.3657561932367959e-16
71.6,67.50512737727574,1.2090978632980207e-16
71.8,67.69368918559215,1.0703735545569761e-16
72.,67.88225099390856,9.475344564463734e-17
72.2,68.07081280222498,8.387653075244748e-17
72.4,68.25937461054139,7.424578338141329e-17
72.6,68.44793641885781,6.571872006773975e-17
72.8,68.63649822717422,5.816911372057144e-17
73.,68.82506003549062,5.148514305913225e-17
73.2,69.01362184380704,4.5567752210035006e-17
73.4,69.20218365212345,4.03291966578138e-17
73.6,69.39074546043986,3.569175443139828e-17
73.8,69.57930726875628,3.158658379590091e-17
74.,69.76786907707269,2.7952710836761034e-17
74.2,69.9564308853891,2.4736132202206508e-17
74.4,70.14499269370552,2.1889019936993366e-17
74.6,70.33355450202193,1.936901681929805e-17
74.8,70.52211631033833,1.7138611924624257e-17
75.,70.71067811865476,1.5164587304434497e-17
75.2,70.89923992697116,1.3417527699603542e-17
75.4,71.08780173528758,1.1871386124523855e-17
75.6,71.27636354360399,1.0503098969915797e-17
75.8,71.4649253519204,9.29224499277556e-18
76.,71.65348716023682,8.220743200787404e-18
76.2,71.84204896855323,7.272585205126115e-18
76.4,72.03061077686964,6.433598118038473e-18
76.6,72.21917258518606,5.691234517159369e-18
76.8,72.40773439350247,5.034386393614053e-18
77.,72.59629620181887,4.453220351284668e-18
77.2,72.7848580101353,3.93903163523609e-18
77.4,72.9734198184517,3.4841148426924336e-18
77.6,73.16198162676811,3.0816494141145558e-18
77.8,73.35054343508453,2.725598218384431e-18
78.,73.53910524340094,2.4106177379896774e-18
78.2,73.72766705171736,2.1319785302021252e-18
78.4,73.91622886003377,1.885494791025561e-18
78.6,74.10479066835018,1.6674619823382847e-18
78.8,74.2933524766666,1.474601601117353e-18
79.,74.481914284983,1.304012274625226e-18
79.2,74.67047609329941,1.1531264584933418e-18
79.4,74.85903790161584,1.0196720971053609e-18
79.6,75.04759970993224,9.016386787667584e-19
79.8,75.23616151824865,7.972471829123447e-19
80.,75.42472332656507,7.049234739938702e-19
80.2,75.61328513488148,6.232747475437496e-19
80.4,75.8018469431979,5.510686789709149e-19
80.6,75.99040875151431,4.872149655694112e-19
80.8,76.17897055983072,4.3074898759350833e-19
81.,76.36753236814714,3.808173455924684e-19
81.2,76.55609417646355,3.3666505896263e-19
81.4,76.74465598477995,2.9762423527098955e-19
81.6,76.93321779309638,2.631040416936362e-19
81.8,77.12177960141278,2.3258182921392956e-19
82.,77.31034140972919,2.0559527732256959e-19
82.2,77.49890321804561,1.8173544210587622e-19
82.4,77.68746502636202,1.606406040222841e-19
82.6,77.87602683467843,1.4199082354757347e-19
82.8,78.06458864299485,1.2550312339155938e-19
83.,78.25315045131126,1.109272253078098e-19
83.2,78.44171225962768,9.804177777078463e-20
83.4,78.63027406794409,8.665101810326821e-20
83.6,78.8188358762605,7.658181910893821e-20
83.8,79.00739768457692,6.768107599591552e-20
84.,79.19595949289332,5.981339445183045e-20
84.2,79.38452130120973,5.2859045224323004e-20
84.4,79.57308310952615,4.671215453942138e-20
84.6,79.76164491784256,4.1279103212786764e-20
84.8,79.95020672615897,3.647711042752488e-20
85.,80.13876853447539,3.22329809133521e-20
85.2,80.3273303427918,2.848199670628941e-20
85.4,80.51589215110822,2.516693683199782e-20
85.6,80.70445395942463,2.2237210171473673e-20
85.8,80.89301576774103,1.9648088463536246e-20
86.,81.08157757605746,1.736002789955389e-20
86.2,81.27013938437386,1.533806909448091e-20
86.4,81.45870119269027,1.35513063942756e-20
86.6,81.64726300100669,1.197241852063981e-20
86.8,81.8358248093231,1.0577253475259546e-20
87.,82.02438661763951,9.344461441057982e-21
87.2,82.21294842595593,8.255170139549199e-21
87.4,82.40151023427234,7.292697741963618e-21
87.6,82.59007204258874,6.4422989969326874e-21
87.8,82.77863385090517,5.690940737607084e-21
88.,82.96719565922157,5.027103373609084e-21
88.2,83.155757467538,4.4406053647989225e-21
88.4,83.3443192758544,3.922448020321753e-21
88.6,83.53288108417081,3.464678272979492e-21
88.8,83.72144289248723,3.060267350228955e-21
89.,83.91000470080364,2.7030035031063017e-21
89.2,84.09856650912005,2.3873971667136168e-21
89.4,84.28712831743647,2.108597113759317e-21
89.6,84.47569012575288,1.862316328837356e-21
89.8,84.66425193406928,1.6447664781545475e-21
90.,84.8528137423857,1.452599979477924e-21
90.2,85.04137555070211,1.2828587921283117e-21
90.4,85.22993735901852,1.1329291486212096e-21
90.6,85.41849916733494,1.0005015395816043e-21
90.8,85.60706097565135,8.835353431897331e-22
91.,85.79562278396777,7.802275608482596e-22
91.2,85.98418459228418,6.889851830583348e-22
91.4,86.17274640060059,6.084007645909131e-22
91.6,86.36130820891701,5.372308367708277e-22
91.8,86.54987001723342,4.743768277892124e-22
92.,86.73843182554982,4.188682000749831e-22
92.2,86.92699363386625,3.698475474634522e-22
92.4,87.11555544218265,3.265574247086489e-22
92.6,87.30411725049906,2.883287082458167e-22
92.8,87.49267905881548,2.5457031042019307e-22
93.,87.68124086713189,2.247600900099516e-22
93.2,87.86980267544831,1.984368200968662e-22
93.4,88.05836448376472,1.751930904536312e-22
93.6,88.24692629208113,1.546690358658042e-22
93.8,88.43548810039755,1.3654679440484689e-22
94.,88.62404990871396,1.2054561080760852e-22
94.2,88.81261171703036,1.0641750996568488e-22
94.4,89.00117352534679,9.394347423474091e-23
94.6,89.1897353336632,8.293006597120338e-23
94.8,89.3782971419796,7.320644350854657e-23
95.,89.56685895029602,6.462172480103854e-23
95.2,89.75542075861243,5.704265828067474e-23
95.4,89.94398256692884,5.0351565173920276e-23
95.6,90.13254437524526,4.4444521680284633e-23
95.8,90.32110618356167,3.922975308787095e-23
96.,90.50966799187809,3.462621514776782e-23
96.2,90.6982298001945,3.056234089891307e-23
96.4,90.8867916085109,2.697493367155953e-23
96.6,91.07535341682733,2.3808189239358853e-23
96.8,91.26391522514373,2.1012832071522157e-23
97.,91.45247703346014,1.854535238772811e-23
97.2,91.64103884177656,1.636733226614465e-23
97.4,91.82960065009297,1.444485042272789e-23
97.6,92.01816245840938,1.27479564887426e-23
97.8,92.2067242667258,1.1250206681674271e-23
98.,92.39528607504221,9.928253708694271e-24
98.2,92.58384788335863,8.76148457602549e-24
