3/2	0	4619/100000
1647/6400	4.0891098144723017986965398457127031573623314627506398281692916775573472933304698e-88	9.0263024818499684456576723285507917192313086336097783577698094779167901849482544
823/3200	-1.054349277462981964275686634800905689740332917329207554026692369164020730800428e-88	9.2109599460848345819507046997724285037583563572012270608019396345126553243270803
329/1280	3.9994211114167261286731207257068473569242849627273676579005448011715928529743955e-88	9.4038413989243300498448891838225826836859900533882324575213978116224554341933401
3289/12800	3.5162890954404552063738227942681504192412048373450369746627995351331359274636147e-89	9.5035393513677469529364641288609496261299451637071966703724032128703138457186682
411/1600	-4.192322928004620212648572484530508421494780562326634303990731307474604057199943e-89	9.6055074767671955504646077334084543273421729491778234128892564808916031015013923
3287/12800	3.2244773913201388923730319485919279149041429389144568176763933253675907681122159e-89	9.7098240457637056677934622572316542272167191534703743165665883879593684208617243
1643/6400	-1.9869349242937297955083404027496639935507652702892489389660583569514402091281387e-89	9.8165709695745357271759553007447557189178238693813416703878420192312858681441205
657/2560	-4.5381769137996401114362098857653056942756140321455772271178617778533679624913694e-90	9.9258340141435520904570804766741397662964958995323259368968666435350083093500215
821/3200	-7.1181544103017174364142798674887380768034855540358293293098030354576383309266643e-90	10.037703029588092719197753022834410093080652811485166295253822312248748749583901
3283/12800	-2.0607650420145577543024426691497377391826134574623972159340921710521479412523445e-90	10.152272196232378940909061542614803658200416044291048391525224406628380742320357
1641/6400	1.0952928209974391067698512207449729544319886451488219848419844037279986691503444e-90	10.269640288643399059280000912988947348450970696106427264475100297767274303366402
3281/12800	-1.8225336960870810425956121086785920184074023237781420956825886191285057653038595e-90	10.389910959225031930146589865119522499555594542921427833312629969596030517742651
41/160	1.8381445922278248108873490092723450402261619002383766508703245105980147575012335e-91	10.513193043081755497885616223907482895208455586928093095177211476853152871854768
3279/12800	-1.1131876747460586788339847395394156454540991522607542753791200358738918955118081e-91	10.639600886036586103346558532401053090361369914776821172150721939972779564702709
1639/6400	7.0544563006020485571020601589722850197299349233039785101848778238729496376088681e-91	10.769254697881191434959156527152497485413871702012553496079994770656123650332705
3277/12800	4.032693352482509494255022468336268070154385897761603728004103249170894772815631e-91	10.902280933152010214270769037821027494305755077231230923693472423048585328541381
819/3200	2.077765273855903471600961186587569031051406831172575767896989732319680622408467e-91	11.038812701967667870173853793674528680628084107912219964812567269804001893750778
131/512	-2.3194473949789623083452839754466102379136969670566308401389638811683965086151524e-91	11.178990213733408355154223138616071098733685065766295032386599028235018146759867
1637/6400	6.8477694422237471767265716596520329108300361718531024467205439606167578489474948e-92	11.322961256821583397132126677654575006457621229323652154190166574914507464384845
3273/12800	5.2179431434325783349108987978724458192772310730490467083431166936718003053785973e-92	11.47088171767795737460849325094681348620049193539428312888395172269721500117953
409/1600	6.4156548884447576512483126227891567359735067357114545073154053786982214570960406e-92	11.622916143186892505814984076242704011464878985216989031727141777758699035122519
3271/12800	4.2884202181884660347909080114964112617896004035045487001239469198336339391935694e-92	11.779238350560373691091312524248719713629248985680691583166097871294458876643416
327/1280	-3.6279685572262479013962770737455424145203875398154463204724015220510425703919059e-92	11.940032089503256305653155958516991187694328340770470108950918857896093636005878
3269/12800	7.8792180200532766563583100140100711542126660067393265747996864863446082672452399e-93	12.10549176195812123348972667158209510184165525293248347240836796863226752685503
817/3200	3.5456192440264535025636463523524142212877904145378991928648228280926358469292133e-92	12.275823205357049026612913975852511790845126916050467278674869690233480770632705
3267/12800	1.8955438203099587498389809415146244691013144954097365660513294366555068000747662e-92	12.451244546015363834614562623648804539220638006217876829970415493593850394908332
1633/6400	8.2267884609664762037335118528037122193668135074447040152946709053150070986395589e-92	12.631987130106646339360683382638810678067285020063310099563017994296994976081646
653/2560	-3.6736064805506647389307788359725578905000675127095259198837329717424460451053496e-92	12.818296540573921014849649751099662923435055750405031359422342115883784836923445
51/200	-5.8365760578314313912983290390975046602696535268836472558064972132757186015142287e-92	13.010433709376286221584193590721960015059790101378688886754990132624063834123432
3263/12800	1.2838751870965116360422989942430957767686703936597087427104900087543817372564876e-91	13.208676135663813573970334955524421046900810012473796309761382358269535506047873
261/1024	1.9344052248257822326762897702713408514299253312230529747291177684421885383863636e-92	13.310178395106525650864944466468111692762126679099914442290633809185578750741343
1631/6400	5.3683056393778019334425242201332232350772650704135330667701797245264639790260506e-92	13.413319221840359356104888740049770646153718798057716406934787673135565711846126
6523/25600	4.203905190035588427135452405959647051190875142289539369883037929035837787439629e-92	13.518138579260471200358366384456885828171300495713729413377640457639342748032354
3261/12800	6.6303536774688496795385575992537870760596212458981856437350659002108825249658919e-92	13.624677741042408523617092337462060680649623963578876743108496293553753002229225
6521/25600	2.6961018906394076816453159264037700951570025803944450725636045883532581025103384e-93	13.732979345285897572666154544665200191726321711153228352534543520337606628811369
163/640	-8.9567310028431051436461239467474636830703566577476511296555459784998423194921025e-92	13.843087451365821254671425265017041027780255068958634509215189041340155733861797
6519/25600	6.2598305860389451535505404591900070944795374405991027003969951457263463657607975e-93	13.955047599649633014772811084448624723088987759228271551277353717416302773671112
3259/12800	-2.0042621368696180192770624330232187774840533961163549788644767336862722041486962e-92	14.068906874251249654988749200350993262123362917351051096667191791586786145677783
6517/25600	2.7434728393107640153525006606858990094989938672212288813132513389739250648589046e-92	14.184713969003092771107847055298445896877929212681430419801609244463659748044263
1629/6400	-6.4913870311689377781499390917179662839650065385635070206857369070157042837677406e-92	14.302519256840477427528980528993126320227756869527268101393919332957241814872998
1303/5120	7.2206334557163265106028299661435313597681075507421283540830174841248862749153102e-86	14.422374862806056159291134409614439186176185646428440241510656900089810958338202
3257/12800	-8.057201200778757625352505182416222382169581415881154301683377655762668374945656e-86	14.54433474089660239686100147336557118525859352278182491569543233804594130409822
6513/25600	-1.2053452949209224599612323139456440784283066143888680331171967017206306268615958e-85	14.668454754990154336429359098073481707531798373823885437324364558039949075282292
407/1600	-8.586544732467094740567486097914277137901078682611146592940527576716670972311225e-86	14.794792764108541780154451636690249687389451699340477641510652236769680035380994
6511/25600	5.2121181487888292209571858879683186280021801202615254090601990181629399473634244e-86	14.923408712288698472613085715563690007106095398551085113763978141742605499189657
651/2560	6.0296630575816042082248553376437912792465947424554002687020696172784990894524875e-86	15.054364723356046279872060933382011487986381371858249649219488626548720169154675
6509/25600	1.1651578479153418342462814905284724735352947124092648226543862160396435209707885e-86	15.187725200914763161058311500184730699321010385408870884427186080684680927025164
1627/6400	7.4287359534275228920116374474179126854478015323996119892613953179797670632610705e-86	15.323556933893066286059276307518691310894764283828529127050626753245281138322116
6507/25600	-5.1288088669787828262330413981747085363534715518704571193771374340083005730060318e-87	15.461929208006922501912263584096251469450057609848500250168131972669258430129003
3253/12800	-4.1322071708064890610687216030543593599078191962184542422735155579069626586613028e-87	15.602913923533025686540533288957855005483087838424019591976865679818711708368489
1301/5120	-1.0609247320195240814983200829098290702275736746691452559205015086064196495364957e-86	15.746585719811658779114215130819399461403534077518031154558094089986987108565768
813/3200	2.3395731165459113073352078113187019655710944367649975415054926557693114713526074e-86	15.893022106932413490929269235801298123160488424879268741509862098867462209723796
6503/25600	5.6506985305540126360269462233703950233816859278221227533602522398005845818737349e-86	16.042303605090923069986616721173436390601377094556472993332708240993221080035204
3251/12800	2.8447645917429710627588503545659716448157747685211813794201370810069116798029843e-86	16.19451389214305018844320386098145319233990656128340587879582226812548397690443
6501/25600	2.2275238177190169783172798739720892994999179550401161972017086922728010888131104e-86	16.349739959924670403876432695026506450384263927115637562430295820391946057833724
65/256	-5.4740258640925478984325297610619985702536343213508614087664927496325658202362097e-87	16.508072279950642881431132694003747120010873423578515469417349275854448823990109
6499/25600	-1.6400526370258415270869888836236731733306707461754107154413406269976628277584102e-86	16.669604979156143230601883074457935730852166365172221041616255673426732690218961
3249/12800	2.1910087161358123524620529832898479973878174815232576582717378312878815994767105e-86	16.834436026397670033209985932310280215927118754601302023928944049384339565736353
6497/25600	-3.3389373666353209152151153500818481223018560619832818533702260436574909914818987e-87	17.002667430490196356839322183376018522548676075333462040579841413335852128700344
203/800	-1.4380071644987720589302580561572063202944249838309533631316381346015534764507642e-88	17.174405450621643489233982265752538657234173084162058067380285623654092307269957
1299/5120	7.5865697278567086421631649049503555141401999774155682620144275525622398159901565e-87	17.349760820056690106936533731746051065326616082635177876890281420729099961470259
3247/12800	-2.5168219583773012825214444755765487197248642225859963675622170449256326201357973e-87	17.528848984119548237305621490085291392356040724572003106022304330800907868997554
6493/25600	1.2439121950702535091605418942235291499610435433054249838484696611563045320402539e-87	17.711790353530466952380685308233975911836394576320531122470118554500815898346538
1623/6400	3.2296812088551048467780396531850369326855714821403147818304873063350203741048688e-87	17.898710574264182206019654234673539572251673069425622278144033737243246008653026
6491/25600	-9.3150415382476283557471269817046863119676675677954522606383262819235135276998295e-88	18.089740815201231745468609894658932990522843802048541170962009798242688430252455
649/2560	-4.6122890551081586376130746815053580887913318128152892289818889413848093104241706e-89	18.285018074956024600227856639533783861334092931882434982417052204782809323724261
6489/25600	1.4014579261347831741353901636790795696640736819053126009849944251332269317194468e-87	18.484685509389949213180479005729938679344382844279356104247259424604708719461522
12977/51200	-2.5631551121231403827545631692467459576861298498173371528933932190147109796860734e-88	18.58621204754839274677804011239650121544520322932807992210921888318571329095588
811/3200	4.2500277808223328593423577737444582248843583586119329298697382089200537364594879e-77	18.688892781454921012174172974338132901213869129900138236339669860595667362574681
519/2048	5.6340434259947402950991374805062077280770416544868968739635301633754570270881026e-77	18.792747497060042117829727023358163233781877645028417507627839439439470097398777
6487/25600	7.4806964106928867194252886900113881458971563862287500337032933335249444912587675e-77	18.897796435164071443114825472212050475572272033575465931997679906881941074722165
12973/51200	9.948670536447915363937658641465229324961531070326592879255775651789845077106183e-77	19.004060304563078867386055623294620995015239840439607250137231113217358909993547
3243/12800	1.3252496601788188894704131344825904347327062231258987382719479410655016310880846e-76	19.11156029565341555740182368067820881765501084234912647683839196797734701546602
12971/51200	1.7682688710518175155707912648089197573183902916144298854871838394897684013740465e-76	19.22031809451359257567608968948570416657305153353944237108205036475899449670974
1297/5120	2.3633350533993726541184515174908019481314733264168071132997907815359526354650611e-76	19.330355897483166972963817358351916886116592624872372041312228133730992400631652
12969/51200	3.1640065968160838795712903168992810742321781964472185944205382492303722363303915e-76	19.441696426259221473666591388703970364762435057726861542837762252940970133540591
1621/6400	4.2431983305509019236704410666092359421823118207337046773843726150325950973028505e-76	19.554362943532004153841709580633611352030996536872060052953284349528691536421384
12967/51200	5.7003581046443282143674416624239969541941590826777948579622839878812111382518862e-76	19.668379269182327632441135663079566801680362576331978155221074010734767151210472
6483/25600	7.6713699013752597335511178975940459814492627887352590947737347935291375616457906e-76	19.783769797064416429931027071374473209144367484012458047111552834296240802844575
2593/10240	1.0342248935700935665374679104283921548518103664751851338349148737424847611427194e-75	19.900559512399039689250023704112606557786526955186158808930138052524609494367529
3241/12800	1.3968114914446353633665440494539610309969920397555128732755683870057044757400315e-75	20.018774009802978024550412684825453821550788962917673292525576829581554928285863
12963/51200	1.8899530307239882159789858226962091928082203750359774385369884224469306702367573e-75	20.138439511982151730182109443953858562882593821280472184347558968782154014031217
6481/25600	2.5619134606163799461972576858381400967795903737665489908047422070326953060378811e-75	20.25958288911708707534054274094733986859047292257791895879539885507237207760955
12961/51200	4.0412300637430202907672727865577897147423665186827852207807324769419745220213599e-87	20.382231678970822340255399468237916873800986948761741900956000358257144623118271
81/320	1.6082027556459527864981963505551904071062458728555099372056194587835973281682548e-87	20.506414107750860332591194295836361450066238752865378744714177933823057428836078
12959/51200	-7.6821111657846942102053034882638020471618683345097860882950910230425073248016138e-88	20.632159111758364398890335484778529133209381351252641413676692331698515732246201
6479/25600	-9.36896110387737579836811634836268517107545896695331846560135434569658482349332e-88	20.759496359859475807399932238912797849528024929511599637961913796810583661554844
12957/51200	-6.9560657376665677809806803511043311297086786591830628301100685103718872111526675e-88	20.88845627681540759525260199281785798673481501950162821014944339592777985462475
3239/12800	4.2922996610256327691092549578377497955693334679835536244895202152021698117331491e-88	21.019070067509849721329144413711399612333383881079460171998024436697339218550787
2591/10240	1.6856099901307076157607470070967956894795037289244238807550010696256719122692328e-88	21.151369742114209261167384604471992325878689722154121528659921372419646475266243
6477/25600	-2.6081429236427677397899887085525758867413265920078847482439648430313937125377198e-89	21.285388142233314509443428151711659468867545057365848758331266276867078279052222
12953/51200	4.857206640074221750914918063242632603283085078610101909287928756873897336752205e-89	21.421158968076440815840682243456618640293538044704002600312503245459084587576159
1619/6400	5.0352691091111685002164691190219324342514577757074260414522692926362718893929983e-90	21.55871680670087691832296243466008190947769113081268915173579495489281419331388
