47/20	-1.5501253451262143434540090906507486740437008593749800716794040675168050088248974e-95	0.0073222304860541996392551910921455089619793564380073265357240958696049974329238647
12/5	-2.9523306600663259919754429963566849778817757354170973514314653761135688455031668e-93	0.0062509504259109940605695095031786758387847867713614046527611559746756115435835839
49/20	-3.3171750977559222121768991414401969615610909945262012210999452207458993950606269e-93	0.0053320250161270765408205941149879213917232847371196936998245170714921251609697232
5/2	-2.3673315519948477312963154284836677672942812211756697398687532846650509210568458e-94	0.0045445791987896812664400867195046876819876054754059602887767618819203113684232241
51/20	-1.8323686796064143325391913778834733927996017189781881062080934556888050259720757e-94	0.0038704555433242073915471277794067818842599368472650907015753285541467736274685931
13/5	-1.1292819455627361509878222288434192747416838008215272930589101158578589781282261e-93	0.0032938858681690331866297569892543450861364350823242968174165624693668036359688931
53/20	-8.8935814586542879868977873285241390667936716108460854163153749239051530905804106e-94	0.0028011980810792207775752801851038885928889010728796294195487833626029727257945622
27/10	-1.152565247727426009293080321802903459022555975945157252886074172146426990145259e-93	0.0023805552239070802309388955092452821441430756477424561894264183679268642887365664
11/4	-4.49544353221895298403746233746064881606917072960910839891529781738285397546254e-94	0.0020217238403373132325361821711673826427564390215776615829647326586817456243884466
14/5	-1.0864852360548599214655660035633096369653000752295727664926755142363637607088045e-93	0.0017158689313474430679490109839048509187380159743004991705379345241610593857753366
57/20	-9.7101778352072836212931214867186623162243369941775595049530517058315172300584353e-94	0.001455372920695539881818948759741925405694656321899385824121070142886651365317051
29/10	-1.5427067884022886034550156652890994134182732519453198886720247723834720268385667e-93	0.0012336762183167950544463386635298234956623018112307709388982892275641917787307796
59/20	3.9058832956714210806021473902057944811336886267670445304277161338817106514311052e-83	0.0010451371397185964163738174168434484503923850375905450209845395569971298504148024
3	6.5600882395847178869967619387569527045983011219831473036566310675415097808290479e-84	0.00088490911100149818764807801691989452094545155713538926906601227114252822501548347
61/20	1.0969685784869580774325483002828637271596554899926557060660901500541665623712136e-84	0.0007488332590348731025540143397565193128635953664651749925179071816657516976046921
31/10	1.8266653352002679957427399901658640713197328256307730653870891170289114985651646e-85	0.00063334465205994572791772723600187045646119497958956758797823315020705876183914752
63/20	3.029591856577054517951722434880348761240814863936244495181822301546422840823579e-86	0.00053539061554496063610450439942091635560384067091499310457736591927532848958824101
16/5	8.4902607353291182429215227319735021795746417814681773577387443178098584709877711e-80	0.00045235969992495022813723745333410291641775435414527987968557887359419970723450795
13/4	1.9877054624960466881267249207924624637526676372640801501352488791858948434473117e-80	0.00038202001981719961302049028618940324625531028925557385098445281200366883348917621
33/10	4.6405967817800164511645210322910314744023641173318368421772390416282625109834004e-81	0.00032246581770546644771646327848892337901428208385678997348181357627783912955344043
67/20	1.080529595879900442026071070575810166279999787022565980805833037601865704004408e-81	0.00027207122856281546591667415344440472878508667813490625090086814564185499332323423
17/5	2.5095001432148408637908720987607457129038518239192736959645737672754882611562407e-82	0.00022945033534588193004436179356283876883167319324106741878816461681357755938448109
69/20	5.8139194242913667504872322832863076862756864853564265354916598445538829887366661e-83	0.00019342270887697027628320778141625348801401770972236048469150934278736294737970202
7/2	1.343762822688429825698356196697779432291584159776956812290182353563603609691965e-83	0.00016298371964069133500648452089188899506165915188144344114751216881625873418192858
71/20	3.0987464244357682142009411256462819238732126489124051468055744003424675902564739e-84	0.00013727899389113613247644909193106030759509455232271431889896275430502838716226349
18/5	7.1300873145084642311897269542936581562194656428119479585540519060574790340166795e-85	0.00011558246271367585751099323447149351849502199942980165573960739729211275499494162
73/20	1.6371273152883367103089146758462259241223955586676094557878117764828462749403651e-85	0.000097277520887479622477731384687100962647936027684871057600835665541436527761971108
37/10	3.7512861201543183951557645467954486414686155541241912690261947815830022362746297e-86	0.000081840873155076385176712105643382962698871064288916340450586273761762320390778567
15/4	8.5786158120852983953458700303723023397295422854215234632579236178178863180609224e-87	0.000068828699436651751987201098613725249246378144672642097500626039008323213992192367
19/5	1.95804209250373148430890582353622184080124466847979014948237830380644242013896e-87	0.000057864818234878214218955641064095448642516113710726294643458044413644074415467816
77/20	4.4609209777991130887559255591986896288163841237259693319233417272707895032791785e-88	0.00004863056954747103378354018943539751644921243637380181338123769808160073728441542
39/10	1.01436103187548013456162796801395663755285740061585538702106376416612680077185e-88	0.000040856175598417183639412604604879868054531959275803979812193958037002459590425077
79/20	2.3025790423431701697296795696117857958511657377564364249643460857180410349581453e-89	0.000034313370140928563635397548747362475460612771112525098303654388353078639957093786
4	5.2001888882898740053746571867765410430797793720874264573000553181276984136511538e-90	0.00002880911546512159385092122165323666590040434784885197704538794903613499434398416
81/20	1.177234202452350970123849746452215075296300370119546487943071980657759245871316e-90	0.000024180251012576437772997722547370585277414222620055706451796760130643424344840929
41/10	2.5187919638346738126598956904447503628382476095063467240489885422636073112842273e-91	0.000020288939071168841588331394401212033573580073104236287477741847557507600611254697
83/20	2.8909620305787668130303506491529886931574171162524090542216946241057582160226605e-92	0.000017018791771997300443405663301534557505762142834593817899927469271547744801841842
21/5	-1.3013419088805320768351436674496761003904113234913275187768159269035013544885747e-92	0.000014271579874559648931005599499922401411397546365248226244329321194612146770658055
17/4	-2.4944165125713777235648923605721333057873845173150107694793981568331553530000265e-92	0.000011964437910779728349906934425985365765028344169613913717436789777428738029947169
43/10	-4.7891349837952035546550771863949430223465498063704661609545519925884273434249415e-92	0.000010027492434969318630755349412645568781112231601593721729722186809653575436786359
87/20	-1.231497507551540553368620987943289695441323640795384850932221778625382621692133e-92	8.4018506373492552249133630196219279889699949042993095339594910366447267577511851e-6
22/5	-3.545360686729268301433716713770594932806675421462834543809910420307900657588789e-92	7.0378956379104185365086404424282075830635329407552955966918118977150610226233068e-6
89/20	-4.9628159015005038632048479665360342459458515840480744395119019856025882481576906e-92	5.8938425747262826083519136168670762509699536930451661291502745640474164281768235e-6
9/2	4.4010558396017493776249502238673817990876983026068826888017977898743872974242183e-93	4.9345163032600135823010989556224803892151095503155673759563662777570697824499829e-6
91/20	-7.5793715102490695107992023907517794387795302697177045699228391296080067947078862e-92	4.1303172773066935647618962268924878414489358654521700781495369356200964507761388e-6
23/5	-3.8521568102160810500187340919569971634889767734302704781963836310362462086930052e-92	3.4563471163170492977961505148614819158863665524039383136087585685818810745767419e-6
93/20	-5.7854795213068501582095650409095329610198699938967105611660104205363854782318888e-92	2.891669590067294815223544909457428893515050676122880983704479836823520657308738e-6
47/10	-7.8573937532133783216743355504163025386710245886892903076861832421082091405571522e-92	2.4186863676657846171526756517174755257232988649295102227135103764411721977535484e-6
19/4	-2.0235457329294016741753461965026737687029364020213787625435637349655199293604795e-92	2.0226099686778722703142033147451004914363605635175171338983375023218184599305158e-6
24/5	-4.2455978756629934011002706263387245175071257466173024255207055505214294669954595e-92	1.6910189934379398444609048827402905367151653161710299063174458140921966094627335e-6
97/20	-8.7736163675718771318235319537852083286832698608682449233572670849937611790242325e-92	1.4134829612741211076562285690050175915427681535593605576615521928342498936409255e-6
49/10	-5.3828343306263372502438931037600881851459825665402661912250476614141005549300966e-92	1.1812460046314260326333009380230896513583945757822750324536761850967162346920661e-6
99/20	-1.9099434165102370440996488754583649011784995603196251634560600528757698052986229e-91	9.8696030163040528975784890319467289580912265123792202017890524258277069355171458e-7
5	-2.9913923099095699239734028941159660749686601125581723032455253259054606433393228e-92	8.2446152055014602751578117633789630546535452885051422153246032560228890539583005e-7
101/20	-2.9194177128662906451648800923426131980446872729406539943470563866335900216302007e-91	6.8857973246326025176740424763146914655237714540267057864744982177538679925409311e-7
51/10	9.5931416225738859773314508117545437280957785473043180217663271755017031895509329e-86	5.7498025319684624846677443524149558190809256056709439542759917384945855678961069e-7
103/20	3.1090413953144091901348944144104174083303214884697187587265747367356546126418619e-86	4.8002972906432395440101518579039538006478918209639476989932464307350303937465719e-7
26/5	1.0073591180185050674598476018668343561110362809888858643294042051738091796229057e-86	4.0068350480421359391226766662455095162430657027822712966817009558515340972342603e-7
21/4	3.2603717473868540654837706479497138643303591614506903702350759618692297970714907e-87	3.3439092605576662290790660810104645114168536032496384744329867698499377721569855e-7
53/10	1.0543087174239333770217639886993977218023100963467176381150974794963280541510816e-87	2.7901574891022212001772094250185613566139561426975374490720546122448385979176329e-7
107/20	3.4695039860448576562648600616465423577083567735020641391860113922401071703434917e-88	2.3276926962813969847834886125761619558759629942465959186626228396016861156956656e-7
27/5	1.2124534137275182812841343692104425646275492938157360732732464089650957229682029e-88	1.9415416048564349141821578463100129581381682915144303383485768174660042958042885e-7
109/20	5.0762785019806450773891739059095416050786283395260780849837654952043850891827584e-89	1.6191731312346669202332677646141188322020289544791146183296370350737000864454402e-7
